"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Hush Hush - Only Your Love Can Save Them","0","0","5","0","510.45","510.45","102.09","N/A","0.0","0.00","0.00","1","177.55","2022-08-22","782250"
"Dinosaur Fossil Hunter","0","0","7","0","0.59","0.59","0.08","0.54","-575.0","0.00","0.00","33","0.28","2022-08-20","864700"
"Bear and Breakfast","0","0","9","0","1.09","1.09","0.12","1.68","-1,300.0","0.00","0.00","55","0.52","2022-08-20","1136370"
"Muv-Luv Alternative Total Eclipse","0","0","10","0","3.60","3.60","0.36","0.84","-133.3","0.00","0.00","23","1.57","2022-08-19","787510"
"Yumahorome ~Toki o Tometa Yakata de Asu o Sagasu Maigo-tachi~","0","0","9","0","1.43","1.43","0.16","0.35","-118.7","0.77","1.53","23","0.70","2022-08-19","2066360"
"Arcade Paradise","0","0","14","0","1.72","1.72","0.12","0.33","-175.0","0.00","0.00","21","0.73","2022-08-18","1388870"
"GameGuru MAX","0","0","12","0","2.02","2.02","0.17","0.92","-441.2","0.00","0.00","21","0.89","2022-08-17","1247290"
"Hentai Strip Shot","0","0","6","0","0.48","0.48","0.08","0.21","-162.5","0.00","0.00","43","0.21","2022-08-17","935560"
"Across the Obelisk","0","0","9","0","0.44","0.44","0.05","0.04","20.0","0.00","0.00","113","0.22","2022-08-17","1385380"
"Battle Bands","0","0","15","0","2.04","2.04","0.14","0.51","-264.3","0.00","0.00","21","0.97","2022-08-17","1322100"
"Gunlocked","0","0","7","0","1.00","1.00","0.14","0.15","-7.1","0.00","0.00","23","0.49","2022-08-16","1512480"
"Apostle: Rebellion","0","0","12","0","1.28","1.28","0.11","0.23","-109.1","0.00","0.00","13","0.57","2022-08-15","1419750"
"Cyber Manhunt","0","0","10","0","0.62","0.62","0.06","0.04","33.3","0.00","0.00","64","0.26","2022-08-15","1216710"
"Guilty Parade","0","0","11","0","0.94","0.94","0.09","0.13","-44.4","0.20","0.40","36","0.47","2022-08-14","1167170"
"Hard West 2","0","0","6","0","0.54","0.54","0.09","0.14","-55.6","0.25","0.29","74","0.23","2022-08-14","1282410"
"Love, Money, Rock'n'Roll","0","0","12","0","1.93","1.93","0.16","0.17","-6.3","0.41","1.52","113","0.83","2022-08-14","615530"
"Lullaby days","0","0","9","0","1.89","1.89","0.21","0.36","-71.4","0.00","0.00","24","0.91","2022-08-14","1274710"
"Furry Cyberfucker II","0","0","5","0","0.96","0.96","0.19","1.01","-431.6","0.00","0.40","48","0.50","2022-08-14","2004490"
"Escape Memoirs: Mansion Heist","0","0","5","0","0.85","0.85","0.17","0.46","-170.6","0.00","0.10","6","0.44","2022-08-14","1925320"
"Super Bullet Break","0","0","7","0","1.36","1.36","0.19","0.42","-121.1","0.49","2.22","21","0.66","2022-08-14","1767170"
"Crypto Girls [18+] - SEXCoin","0","0","5","0","0.78","0.78","0.16","0.23","-43.8","0.29","2.15","22","0.42","2022-08-14","1770550"
"Creaks","0","0","5","0","0.37","0.37","0.07","0.07","0.0","0.33","0.08","137","0.18","2022-08-14","956030"
"Knock Harder","0","0","5","0","0.40","0.40","0.08","0.06","25.0","7.45","6.86","32","0.21","2022-08-14","1216490"
"Serafina and the Key to the Egg","0","0","6","0","1.17","1.17","0.20","0.19","5.0","0.00","0.00","22","0.52","2022-08-14","1410980"
"Hindsight","0","0","6","0","2.84","2.84","0.47","0.58","-23.4","0.00","0.00","20","1.23","2022-08-14","1122700"
"Tomato Jones","0","0","5","0","0.28","0.28","0.06","0.03","50.0","5.21","0.47","81","0.16","2022-08-14","499460"
"FURRY HITLER","0","0","5","0","0.57","0.57","0.11","0.96","-772.7","0.31","0.92","59","0.29","2022-08-14","1992370"
"Boneraiser Minions","0","0","12","0","0.62","0.62","0.05","0.09","-80.0","0.10","0.16","51","0.26","2022-08-14","1944570"
"Mokoko X","0","0","8","0","0.84","0.84","0.10","0.33","-230.0","11.51","0.38","46","0.35","2022-08-14","1785000"
"Deadly Premonition 2","0","0","5","0","0.68","0.68","0.14","0.12","14.3","0.33","0.21","23","0.37","2022-08-14","1271100"
"Hell Pie","0","0","7","0","0.68","0.68","0.10","0.15","-50.0","0.97","0.76","26","0.35","2022-08-14","889910"
"A Building Full of Cats","0","0","6","0","0.84","0.84","0.14","0.18","-28.6","3.33","0.30","52","0.37","2022-08-14","1969080"
"Utawarerumono: Mask of Truth","0","0","6","0","0.92","0.92","0.15","0.15","0.0","1.27","2.41","62","0.39","2022-08-14","1151440"
"Miko no Kanata: Curious Tales from Oguni Shrine -Cycles-","0","0","5","0","1.18","1.18","0.24","0.28","-16.7","0.00","0.00","29","0.63","2022-08-14","1931440"
"Two Point Campus","0","0","15","0","0.97","0.97","0.06","0.09","-50.0","0.00","0.59","149","0.42","2022-08-04","1649080"
"RGB Rush","0","0","5","0","1.05","1.05","0.21","0.48","-128.6","0.00","0.00","26","0.55","2022-08-04","1952760"
"SEX Prison [18+]","0","0","5","0","0.64","0.64","0.13","0.18","-38.5","0.23","0.28","14","0.34","2022-08-03","1770380"
"King of Phoenix","0","0","5","0","0.91","0.91","0.18","0.47","-161.1","568.31","1.11","54","0.47","2022-08-02","891870"
"Escape Academy","0","0","9","0","0.53","0.53","0.06","0.09","-50.0","85.57","0.45","54","0.26","2022-08-02","1812090"
"Handy Harry's Haunted House Services","0","0","13","0","0.58","0.58","0.04","N/A","0.0","0.18","0.40","40","0.24","2022-08-01","1310510"
"Nazi Furry","0","0","5","0","0.54","0.54","0.11","0.18","-63.6","0.41","0.70","34","0.29","2022-07-30","1985770"
"Digimon Survive","0","0","9","0","1.77","1.77","0.20","0.18","10.0","0.24","0.22","257","0.87","2022-07-29","871980"
"Hohokum","0","0","8","0","1.23","1.23","0.15","1.04","-593.3","0.00","0.00","17","0.52","2022-07-29","1210550"
"Autonauts vs Piratebots","0","0","5","0","0.53","0.53","0.11","0.37","-236.4","0.16","0.38","44","0.29","2022-07-28","1907720"
"MotoGP™22","0","0","8","0","0.56","0.56","0.07","0.08","-14.3","0.41","1.06","59","0.24","2022-07-28","1710580"
"Placid Plastic Duck Simulator","0","0","6","0","0.89","0.89","0.15","0.14","6.7","0.74","0.29","74","0.39","2022-07-28","1999360"
